x,y,region,home_county,mutual_aid_number,type,accidental_transmitter,date,operational_periods,number_volunteers,total_hours,mileage,total_paid_hours,aircraft_used,area_type,area_type_other,land_ownership,land_ownership_other,number_subjects,category,category_other,age_sub_1,gender_sub_1,fitness_sub_1,experience_sub_1,mental_factor_sub_1,mental_rating_sub_1,age_sub_2,gender_sub_2,fitness_sub_2,experience_sub_2,mental_factor_sub_2,mental_rating_sub_2,age_sub_3,gender_sub_3,fitness_sub_3,experience_sub_3,mental_factor_sub_3,mental_rating_sub_3,age_sub_4,gender_sub_4,fitness_sub_4,experience_sub_4,mental_factor_sub_4,mental_rating_sub_4,age_sub_5,gender_sub_5,fitness_sub_5,experience_sub_5,mental_factor_sub_5,mental_rating_sub_5,group_specifics,number_sub_well,number_sub_ill_injured,number_sub_doa,number_sub_not_found,point_found_count,medical_problems_subject,medical_problems_other_subject,medical_provider,medical_provider_other,year,male_female,sub_1,sub_2,sub_3,sub_4,sub_5,sub_total,state,children,seniors,mental,daylight,winter,helicopter,uav,fixed_wing,total_aircrafts,gps,time_bin
-79.8548,40.3616900000001,Appalachian Region,"['Allegheny County ', ' Pennsylvania']",,search,,2018/01/11 03:45:00+00,1.0,3.0,5.0,40.0,20.0,no,urban_rural,,private,,1.0,alzheimers_dementia,,79.0,male,,,dementia,mild,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,0.0,1,,,,,2018,male,1.0,,,,,1.0,Pennsylvania,0,1,1,0,0,0,0,0,0,0,0-11hr
-111.56268,33.5189,Desert Region,"['Maricopa County ', ' Arizona']",,rescue,,2018/01/06 18:00:00+00,1.0,10.0,6.0,200.0,,aircraft-helicopter,wilderness,,"forest, park, monument, blm",,4.0,hiking,,,male,,,,,,male,,,,,,male,,,,,,male,,,,,,,,,,,,3.0,1.0,,0.0,,Trauma_Extremities,,"SAR_team,Local_EMS",,2018,male,1.0,1.0,1.0,1.0,,4.0,Arizona,0,0,0,1,0,1,0,0,1,0,0-11hr
-116.93409,33.21817,California Region,"['San Diego County ', ' California']",,search,,2018/01/28 07:49:00+00,1.0,10.0,32.0,,,no,urban_rural,,county,,1.0,hiking,,,female,good,good,none,normal,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,0.0,0,,,,,2018,female,1.0,,,,,1.0,California,0,0,0,1,0,0,0,0,0,0,11-32hr
-111.5801,33.56661,Desert Region,"['Maricopa County ', ' Arizona']",,rescue,,2018/01/06 21:59:59+00,1.0,2.0,4.0,50.0,,aircraft-helicopter,wilderness,,"forest, park, monument, blm",,1.0,hunting,,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,0.0,,Trauma_Extremities,,"SAR_team,Local_EMS",,2018,female,1.0,,,,,1.0,Arizona,0,0,0,0,0,1,0,0,1,0,0-11hr
-111.59866,33.4738300000001,Desert Region,"['Maricopa County ', ' Arizona']",,rescue,,2018/01/19 03:59:59+00,1.0,6.0,18.0,150.0,,aircraft-helicopter,wilderness,,"forest, park, monument, blm",,1.0,hiking,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,0.0,,OTHER,"dehydrated, exposure",SAR_team,,2018,male,1.0,,,,,1.0,Arizona,0,0,0,0,0,1,0,0,1,0,11-32hr
-111.42942,33.4515000000001,Desert Region,"['Maricopa County ', ' Arizona']",Pinal County,rescue,,2018/01/27 18:00:00+00,1.0,5.0,12.0,75.0,,aircraft-helicopter,wilderness,,"forest, park, monument, blm",,1.0,hiking,,43.0,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,0.0,,Trauma_Extremities,,SAR_team,,2018,female,1.0,,,,,1.0,Arizona,0,0,0,1,0,1,0,0,1,0,11-32hr
-106.47189,39.5923700000001,Rocky Mountain Region,"['Eagle County ', ' Colorado']",,search,,2018/02/04 18:59:59+00,1.0,13.0,55.0,50.0,0.0,no,wilderness,,"forest, park, monument, blm",,1.0,snow_shoeing,,26.0,male,good,good,none,normal,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,0.0,0,,,,,2018,male,1.0,,,,,1.0,Colorado,0,0,0,1,1,0,0,0,0,0,32hours-7day
-106.57374,39.5772000000001,Rocky Mountain Region,"['Eagle County ', ' Colorado']",,search,,2018/02/02 00:00:00+00,1.0,12.0,60.0,,,no,wilderness,,"forest, park, monument, blm",,1.0,hiking,,55.0,female,,poor,none,normal,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,0.0,1,,,,,2018,female,1.0,,,,,1.0,Colorado,0,0,0,0,0,0,0,0,0,0,32hours-7day
-111.51458,40.51462,Inter-Mountain Region,"['Salt Lake County ', ' Utah']",,rescue,,2018/01/13 19:18:59+00,,17.0,34.0,,,aircraft-helicopter,wilderness,,"forest, park, monument, blm",,1.0,snow_skiing,,22.0,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,0.0,,Trauma_Extremities,,Local_EMS,,2018,female,1.0,,,,,1.0,Utah,0,0,0,1,1,1,0,0,1,0,32hours-7day
-73.8556,44.3530000000001,Appalachian Region,"['Bergen County ', ' New Jersey']",,search,,2018/02/09 00:00:00+00,6.0,1.0,20.0,,,no,wilderness,,state,,1.0,snow_skiing,,49.0,male,good,good,none,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,0.0,"6900 Airport Blvd, Sacramento, CA 95837",apparent memory loss,,,,2018,male,1.0,,,,,1.0,New Jersey,0,0,0,0,1,0,0,0,0,0,11-32hr
